id_publicacao,data_publicacao,tema,formato,alcance,curtidas,comentarios,compartilhamentos,salvamentos,seguidores_autor,videos_autor,duracao_segundos,tamanho_legenda,n_emojis,n_hashtags,hora,dia_semana,taxa_engajamento_pct
OCB-089,2026-09-05 15:00,trabalho,carrossel,1558,37,3,8,10,3387,73,0,218,3,6,15,1,3.72
OCB-090,2026-09-06 20:00,saude,carrossel,1398,44,4,5,7,4370,102,0,255,0,3,20,4,4.29
OCB-091,2026-09-07 07:00,saude,reel,2088,61,7,10,12,5353,131,61,292,3,8,7,0,4.31
OCB-092,2026-09-08 12:00,cultura,imagem,2915,70,5,13,15,6336,160,0,329,0,5,12,3,3.53
OCB-093,2026-09-09 18:00,mobilidade,carrossel,2342,81,7,11,19,7319,189,0,366,3,2,18,6,5.04
OCB-094,2026-09-10 22:00,trabalho,reel,3238,113,12,19,32,8302,218,26,403,0,7,22,2,5.44
OCB-095,2026-09-11 09:00,saude,imagem,4271,93,11,18,17,9285,247,0,50,3,4,9,5,3.25
OCB-096,2026-09-12 15:00,cultura,carrossel,3286,94,6,12,17,10268,276,0,87,0,1,15,1,3.93
OCB-097,2026-09-13 20:00,mobilidade,reel,4388,182,16,29,40,11251,305,59,124,3,6,20,4,6.08
OCB-098,2026-09-14 07:00,mobilidade,imagem,5628,98,11,20,25,12234,334,0,161,0,3,7,0,2.74
OCB-099,2026-09-15 12:00,trabalho,imagem,4229,95,12,13,26,13217,363,0,198,3,8,12,3,3.45
OCB-100,2026-09-16 18:00,saude,carrossel,5538,199,14,30,33,14200,392,0,235,0,5,18,6,4.98
OCB-101,2026-09-17 22:00,cultura,reel,6984,231,21,45,46,15183,421,35,272,3,2,22,2,4.91
OCB-102,2026-09-18 09:00,mobilidade,imagem,5173,141,14,18,30,16166,30,0,309,0,7,9,5,3.92
OCB-103,2026-09-19 15:00,trabalho,carrossel,6688,166,21,28,42,17149,59,0,346,3,4,15,1,3.84
OCB-104,2026-09-20 20:00,saude,reel,8341,198,15,40,56,18132,88,68,383,0,1,20,4,3.70
OCB-105,2026-09-21 07:00,saude,imagem,6117,145,12,18,24,19115,117,0,420,3,6,7,0,3.25
OCB-106,2026-09-22 12:00,cultura,carrossel,7838,230,24,37,45,20098,146,0,67,0,3,12,3,4.29
OCB-107,2026-09-23 18:00,mobilidade,reel,9697,421,53,86,99,21081,175,33,104,3,8,18,6,6.80
OCB-108,2026-09-24 22:00,trabalho,reel,7060,210,15,27,50,22064,204,44,141,0,5,22,2,4.28
OCB-109,2026-09-25 09:00,saude,imagem,8988,198,18,34,55,23047,233,0,178,3,2,9,5,3.39
OCB-110,2026-09-26 15:00,cultura,carrossel,11054,384,40,73,68,24030,262,0,215,0,7,15,1,5.11
OCB-111,2026-09-27 20:00,mobilidade,reel,8004,274,32,35,53,25013,291,77,252,3,4,20,4,4.92
OCB-112,2026-09-28 07:00,mobilidade,imagem,10138,201,15,32,44,25996,320,0,289,0,1,7,0,2.88
OCB-113,2026-09-01 12:00,trabalho,carrossel,12410,336,31,68,86,26979,349,0,326,3,6,12,3,4.20
OCB-114,2026-09-02 18:00,saude,reel,8948,261,28,36,71,27962,378,42,363,0,3,18,6,4.43
OCB-115,2026-09-03 22:00,cultura,imagem,11289,381,44,61,66,28945,407,0,400,3,8,22,2,4.89
OCB-116,2026-09-04 09:00,mobilidade,carrossel,657,21,2,4,4,1428,16,0,47,0,5,9,5,4.72
OCB-117,2026-09-05 15:00,trabalho,carrossel,772,15,1,2,3,2411,45,0,84,3,2,15,1,2.72
OCB-118,2026-09-06 20:00,saude,reel,1324,42,5,7,11,3394,74,18,121,0,7,20,4,4.91
OCB-119,2026-09-07 07:00,saude,imagem,2013,42,5,9,12,4377,103,0,158,3,4,7,0,3.38
OCB-120,2026-09-08 12:00,cultura,carrossel,1715,56,4,7,9,5360,132,0,195,0,1,12,3,4.43
