id_solicitacao,data_abertura,data_conclusao,servico,canal_entrada,regional,prioridade_informada,turno_abertura,demanda_prevista,equipe_disponivel,distancia_km,anexos_enviados,tempo_estimado_horas,custo_estimado_reais
SU-0023,2026-02-13 16:30,14/02/2026 19:18,iluminacao publica,Portal web,Sul,Média,tarde,77,11,4.9,1,19,"R$ 332,23"
SU-0024,19/03/2026 14:30,20/03/2026 22:54,coleta,Telefone 156,Oeste,Alta,tarde,21,11,13.5,2,17,"R$ 525,83"
SU-0025,2026/02/06 07:15,,Coleta programada,portal,Oeste,Média,manhã,54,5,3.2,2,17,"R$ 454,54"
SU-0026,2026-03-17 10:15,2026-03-19 17:33,PODA PREVENTIVA,Atendimento presencial,Sul,Média,manhã,79,11,14.4,1,28,"R$ 611,47"
SU-0027,2026/03/16 07:00,,COLETA PROGRAMADA,Portal web,Sul,Média,manhã,44,11,11.2,1,20,"R$ 520,93"
SU-0028,17/03/2026 07:45,2026-03-20 03:51,Iluminação pública,balcao,Oeste,Baixa,manhã,77,10,15.3,1,,"R$ 711,79"
SU-0029,2026/05/11 14:00,13/05/2026 17:24,COLETA PROGRAMADA,Telefone 156,Sul,Média,tarde,73,5,7.6,1,17,"R$ 499,00"
SU-0030,2026/04/26 13:00,,coleta,Portal web,Oeste,Baixa,tarde,43,7,4.7,2,28,"R$ 400,38"
SU-0031,05/03/2026 17:45,,PODA PREVENTIVA,Balcão,Sul,Média,noite,61,10,9.1,3,30,"R$ 594,23"
SU-0032,21/04/2026 15:30,23/04/2026 19:24,Coleta programada,balcao,Sul,Baixa,tarde,26,5,13.6,3,17,"R$ 660,09"
SU-0033,2026-03-09 15:30,,iluminacao publica,telefone,Leste,Baixa,tarde,85,10,3.6,3,16,"R$ 476,64"
SU-0034,2026-03-26 11:30,27/03/2026 20:36,iluminacao publica,Portal web,Oeste,Baixa,manhã,37,9,7.1,1,,
SU-0035,2026-02-15 15:15,17/02/2026 17:39,coleta,app,Oeste,Alta,tarde,42,2,12.8,0,25,"R$ 539,89"
SU-0036,2026-02-24 14:30,2026-02-28 11:18,Reparo de Calcada,Atendimento presencial,Leste,Média,tarde,24,2,12.3,3,28,"R$ 804,99"
SU-0037,2026/05/21 07:00,24/05/2026 21:54,Reparo de Calcada,Atendimento presencial,Leste,Alta,manhã,77,7,1.8,1,39,"R$ 584,76"
SU-0038,2026-02-13 15:45,14/02/2026 05:21,Iluminação Pública ,156,Sul,Média,tarde,34,11,9.7,0,24,"R$ 331,53"
SU-0039,2026-02-01 07:30,04/02/2026 01:42,reparo calcada,Portal web,Leste,Média,manhã,46,5,4.0,3,39,"R$ 547,67"
SU-0040,2026-05-08 07:45,2026-05-11 06:45,Reparo de calçada,portal,Sul,Baixa,manhã,74,9,5.0,2,,"R$ 534,18"
SU-0041,2026/03/26 10:15,29/03/2026 16:09,reparo calcada,WEB,Norte,Média,manhã,92,2,4.6,1,28,"R$ 553,74"
SU-0042,2026-04-16 08:45,17/04/2026 23:33,Iluminação Pública ,portal,Leste,Média,manhã,21,10,13.8,1,24,"R$ 561,10"
SU-0043,2026-02-25 10:45,2026-02-27 08:27,Iluminação pública,Telefone 156,Norte,Baixa,manhã,35,11,15.3,2,16,"R$ 638,02"
SU-0044,2026/02/06 17:45,,reparo calcada,Portal web,Norte,Média,noite,61,3,8.5,2,31,"R$ 686,22"
SU-0045,2026-02-15 13:15,18/02/2026 04:57,Poda preventiva,Aplicativo,Leste,Baixa,tarde,63,6,13.5,0,28,"R$ 663,61"
SU-0046,04/05/2026 11:30,2026-05-07 21:48,reparo calcada,Portal web,Norte,Baixa,manhã,60,6,5.2,1,39,"R$ 582,78"
SU-0047,2026-04-19 07:45,,reparo calcada,APLICATIVO,Norte,Média,manhã,84,8,12.1,1,36,
SU-0048,2026-02-08 14:45,09/02/2026 15:33,COLETA PROGRAMADA,balcao,Norte,Alta,tarde,19,9,9.0,0,,"R$ 344,43"
SU-0049,2026/03/02 13:30,2026-03-05 21:30,Poda preventiva,Balcão,Sul,Baixa,tarde,86,5,13.8,0,22,"R$ 705,27"
SU-0050,2026/02/21 08:15,,Reparo de Calcada,balcao,Oeste,Média,manhã,40,8,4.2,1,31,
SU-0051,15/03/2026 14:45,18/03/2026 17:39,Reparo de calçada,app,Oeste,Baixa,tarde,28,4,14.2,3,31,"R$ 776,74"
SU-0052,05/03/2026 10:30,08/03/2026 18:48,reparo calcada,Telefone 156,Oeste,Baixa,manhã,37,8,9.8,1,31,"R$ 692,25"
SU-0053,2026/02/02 07:00,05/02/2026 02:24,PODA PREVENTIVA,portal,Leste,Média,manhã,62,9,4.5,3,30,"R$ 525,57"
SU-0054,08/05/2026 11:00,,Poda preventiva,156,Norte,Média,manhã,92,3,6.6,3,33,"R$ 749,36"
SU-0055,2026/04/16 08:30,,reparo calcada,app,Norte,Alta,manhã,72,8,8.4,2,36,"R$ 589,14"
SU-0056,19/05/2026 08:00,23/05/2026 01:48,Reparo de calçada,Telefone 156,Oeste,Baixa,manhã,78,6,5.5,0,28,"R$ 614,85"
SU-0057,2026-05-01 14:30,04/05/2026 04:54,COLETA PROGRAMADA,156,Oeste,Baixa,tarde,52,4,15.3,2,23,"R$ 701,59"
SU-0058,2026-05-23 08:45,26/05/2026 12:21,Reparo de Calcada,telefone,Norte,Média,manhã,71,7,2.6,0,39,"R$ 493,06"
SU-0059,05/05/2026 17:00,2026-05-07 01:30,Iluminação Pública ,WEB,Oeste,Média,noite,55,6,0.4,2,,"R$ 311,29"
SU-0060,2026-04-16 16:45,2026-04-19 14:57,poda,WEB,Leste,Baixa,tarde,28,4,5.9,0,30,"R$ 523,13"
SU-0061,2026/04/19 07:15,,poda,Atendimento presencial,Oeste,Baixa,manhã,82,11,7.8,0,22,"R$ 576,63"
SU-0062,20/05/2026 07:45,,poda,portal,Oeste,Baixa,manhã,32,9,12.1,0,25,"R$ 540,63"
SU-0063,18/02/2026 10:15,,Poda preventiva,Atendimento presencial,Leste,Média,manhã,67,2,5.8,1,30,"R$ 596,97"
SU-0064,21/03/2026 13:45,2026-03-22 13:15,iluminacao publica,Balcão,Sul,Média,tarde,57,9,3.2,2,21,"R$ 292,12"
SU-0065,2026-03-04 10:00,2026-03-07 08:24,poda,WEB,Sul,Baixa,manhã,78,6,1.7,1,25,"R$ 495,66"
SU-0066,04/05/2026 14:00,05/05/2026 18:00,Iluminação Pública ,app,Norte,Alta,tarde,43,4,0.6,1,,"R$ 261,93"
SU-0067,2026/04/11 09:45,2026-04-12 19:09,coleta,Aplicativo,Leste,Média,manhã,32,5,1.4,1,25,"R$ 307,68"
SU-0068,2026-04-15 10:45,,coleta,portal,Oeste,Baixa,manhã,93,2,9.1,1,25,"R$ 668,02"
SU-0069,14/05/2026 16:30,2026-05-17 17:42,reparo calcada,telefone,Norte,Média,tarde,36,3,8.6,1,34,"R$ 624,03"
SU-0070,2026-03-02 09:45,05/03/2026 18:21,COLETA PROGRAMADA,Portal web,Leste,Média,manhã,85,2,7.9,0,28,"R$ 606,46"
SU-0071,25/04/2026 08:30,,reparo calcada,portal,Sul,Alta,manhã,30,5,14.7,1,31,"R$ 660,01"
SU-0072,2026/02/23 17:00,27/02/2026 03:24,Reparo de Calcada,Portal web,Oeste,Baixa,noite,33,3,1.2,0,31,"R$ 494,15"
SU-0008,13/04/2026 14:00,,Iluminação Pública ,APLICATIVO,Sul,Alta,tarde,77,5,7.3,3,13,"R$ 497,64"
SU-0032,21/04/2026 15:30,23/04/2026 19:24,Coleta programada,balcao,Sul,Baixa,tarde,26,5,13.6,3,17,"R$ 660,09"
SU-0057,2026-05-01 14:30,04/05/2026 04:54,COLETA PROGRAMADA,156,Oeste,Baixa,tarde,52,4,15.3,2,23,"R$ 701,59"
