id_carregamento,data_registro,tipo_carga,origem,destino,prioridade_solicitada,distancia_km,estoque_destino_dias,caminhoes_disponiveis,combustivel_disponivel_litros,peso_toneladas,carga_perecivel,prazo_horas,hora_registro,tempo_entrega_horas,mes_registro,telex_origem
CS-0071,1972-10-18 08:45,Combustível,Depósito Central,Santiago Centro,Média,317.6,2.6,6,882,13.7,0,26.0,8,29.7,1972-10,T-12
CS-0072,1972-10-31 15:30,Alimentos básicos,Terminal Costeiro,Valparaíso,Baixa,112.6,6.0,11,325,4.0,1,26.1,15,27.3,1972-10,T-15
CS-0073,1972-10-23 08:45,Medicamentos,Depósito Central,Valparaíso,Alta,357.9,5.9,11,1298,14.9,0,16.6,8,34.1,1972-10,T-08
CS-0074,1972-10-09 08:30,Combustível,Depósito Norte,Talca,Média,177.3,3.7,5,2628,21.3,0,17.9,8,31.3,1972-10,T-08
CS-0075,1972-10-25 06:30,Alimentos básicos,Depósito Norte,Antofagasta,Média,660.6,6.3,5,3411,2.0,0,30.2,6,36.6,1972-10,T-15
CS-0076,1972-10-17 15:15,Insumos industriais,Depósito Central,Valparaíso,Média,469.8,1.1,10,1618,5.0,0,25.8,15,37.1,1972-10,T-12
CS-0077,1972-10-24 13:45,Insumos industriais,Depósito Norte,Concepción,Alta,372.6,0.5,11,350,17.9,0,14.5,13,35.4,1972-10,T-12
CS-0078,1972-10-17 16:00,Combustível,Depósito Central,Concepción,Média,111.1,6.6,1,1136,9.8,0,14.0,16,38.4,1972-10,T-15
CS-0079,1972-10-14 07:00,Combustível,Depósito Central,Santiago Centro,Média,263.4,3.6,10,1525,11.4,0,23.8,7,31.2,1972-10,T-04
CS-0080,1972-10-19 14:45,Insumos industriais,Armazém Ferroviário,Valparaíso,Baixa,624.4,4.9,11,3779,20.4,0,37.9,14,59.1,1972-10,T-08
CS-0081,1972-10-27 17:15,Insumos industriais,Depósito Norte,Antofagasta,Baixa,699.5,4.4,3,807,8.0,0,40.1,17,47.7,1972-10,T-12
CS-0082,1972-10-13 09:00,Alimentos básicos,Terminal Costeiro,Santiago Centro,Alta,84.0,5.9,5,3797,16.4,1,9.7,9,19.6,1972-10,T-15
CS-0083,1972-10-14 14:45,Alimentos básicos,Depósito Central,Concepción,Média,660.9,3.5,5,277,21.2,1,35.4,14,60.3,1972-10,T-04
CS-0084,1972-10-21 08:30,Combustível,Depósito Central,Antofagasta,Média,450.8,1.5,1,1695,18.5,0,23.6,8,62.0,1972-10,T-15
CS-0085,1972-10-30 15:45,Medicamentos,Depósito Central,Talca,Média,156.2,4.0,1,570,7.9,0,18.1,15,42.1,1972-10,T-08
CS-0086,1972-10-22 11:00,Medicamentos,Armazém Ferroviário,Santiago Centro,Baixa,221.5,6.6,5,3339,21.7,0,27.3,11,37.6,1972-10,T-08
CS-0087,1972-10-29 17:30,Alimentos básicos,Depósito Central,Santiago Centro,Média,492.5,6.2,11,3677,19.8,1,26.6,17,52.5,1972-10,T-15
CS-0088,1972-10-29 08:00,Combustível,Depósito Norte,Antofagasta,Alta,246.6,6.1,1,2781,16.5,0,13.8,8,39.7,1972-10,T-08
CS-0089,1972-10-30 07:30,Insumos industriais,Depósito Central,Santiago Centro,Baixa,688.9,4.1,4,3159,5.9,0,44.2,7,60.3,1972-10,T-04
CS-0090,1972-10-18 16:15,Medicamentos,Depósito Norte,Antofagasta,Alta,457.1,0.4,10,2285,19.5,0,18.3,16,63.9,1972-10,T-04
CS-0091,1972-10-28 10:15,Insumos industriais,Depósito Norte,Concepción,Média,567.6,3.9,6,3189,12.9,0,28.5,10,40.7,1972-10,T-08
CS-0092,1972-10-30 17:00,Insumos industriais,Depósito Norte,Santiago Centro,Baixa,362.1,5.1,10,310,11.5,0,33.9,17,39.6,1972-10,T-12
CS-0093,1972-10-30 06:45,Medicamentos,Depósito Norte,Antofagasta,Média,646.0,4.3,3,272,16.2,0,32.9,6,68.7,1972-10,T-12
CS-0094,1972-10-28 08:45,Medicamentos,Depósito Central,Valparaíso,Média,728.9,6.8,9,2939,5.4,0,34.1,8,52.7,1972-10,T-12
CS-0095,1972-10-27 13:15,Medicamentos,Depósito Central,Santiago Centro,Baixa,558.2,1.7,10,2708,7.1,0,38.7,13,67.8,1972-10,T-08
CS-0096,1972-10-12 07:30,Alimentos básicos,Terminal Costeiro,Valparaíso,Alta,233.9,6.2,8,960,2.3,1,12.2,7,18.7,1972-10,T-08
CS-0097,1972-10-20 14:00,Insumos industriais,Depósito Central,Valparaíso,Alta,359.6,6.0,10,2537,20.0,0,15.9,14,20.6,1972-10,T-15
CS-0098,1972-10-31 16:30,Insumos industriais,Depósito Central,Santiago Centro,Média,589.6,5.3,9,2563,5.2,0,30.7,16,52.1,1972-10,T-04
CS-0099,1972-10-29 07:30,Alimentos básicos,Depósito Central,Concepción,Média,203.8,1.8,7,881,8.1,0,22.5,7,31.5,1972-10,T-04
CS-0100,1972-10-24 13:45,Alimentos básicos,Depósito Norte,Concepción,Baixa,72.4,6.6,6,3891,7.9,1,24.8,13,31.5,1972-10,T-08
CS-0101,1972-10-17 07:45,Insumos industriais,Armazém Ferroviário,Antofagasta,Média,224.4,6.4,5,1983,17.1,0,20.6,7,35.0,1972-10,T-15
CS-0102,1972-10-20 06:30,Medicamentos,Armazém Ferroviário,Antofagasta,Alta,298.9,5.0,6,942,14.1,0,12.7,6,26.1,1972-10,T-15
CS-0103,1972-10-20 17:45,Combustível,Armazém Ferroviário,Santiago Centro,Média,733.2,6.7,2,2459,21.7,0,36.3,17,76.4,1972-10,T-15
CS-0104,1972-10-25 09:00,Alimentos básicos,Depósito Norte,Santiago Centro,Baixa,116.7,4.5,4,2493,12.4,1,26.3,9,34.4,1972-10,T-08
CS-0105,1972-10-30 14:00,Medicamentos,Terminal Costeiro,Antofagasta,Alta,675.3,2.7,2,535,15.7,0,26.4,14,73.4,1972-10,T-04
CS-0106,1972-10-23 14:30,Combustível,Armazém Ferroviário,Talca,Média,483.9,1.8,2,2598,21.0,0,25.1,14,66.4,1972-10,T-12
CS-0107,1972-10-10 06:45,Alimentos básicos,Depósito Central,Concepción,Média,367.9,4.6,5,528,8.0,1,23.1,6,25.2,1972-10,T-04
CS-0108,1972-10-31 11:30,Medicamentos,Depósito Central,Valparaíso,Baixa,727.0,1.8,8,1529,2.2,0,42.1,11,72.0,1972-10,T-04
CS-0109,1972-10-14 11:45,Medicamentos,Depósito Norte,Concepción,Média,664.8,4.9,11,3485,20.4,0,30.1,11,57.2,1972-10,T-04
CS-0110,1972-10-14 16:00,Alimentos básicos,Depósito Norte,Concepción,Alta,600.4,3.8,10,564,7.5,1,27.1,16,42.1,1972-10,T-15
CS-0111,1972-10-27 14:15,Insumos industriais,Terminal Costeiro,Talca,Alta,312.6,2.7,6,3367,2.2,0,18.5,14,23.6,1972-10,T-04
CS-0112,1972-10-24 15:15,Medicamentos,Armazém Ferroviário,Santiago Centro,Alta,326.3,4.3,6,3312,8.9,0,15.8,15,15.2,1972-10,T-15
CS-0113,1972-10-30 10:30,Combustível,Terminal Costeiro,Concepción,Alta,549.1,4.8,7,498,4.3,0,25.3,10,52.0,1972-10,T-08
CS-0114,1972-10-27 09:15,Combustível,Armazém Ferroviário,Santiago Centro,Alta,231.9,6.1,1,2870,20.4,0,14.0,9,42.0,1972-10,T-15
CS-0115,1972-10-25 15:00,Medicamentos,Depósito Central,Santiago Centro,Alta,520.5,3.5,2,2389,11.8,0,22.8,15,46.6,1972-10,T-08
CS-0116,1972-10-24 15:15,Medicamentos,Depósito Central,Valparaíso,Média,122.5,2.8,6,1830,6.0,0,18.6,15,29.5,1972-10,T-08
CS-0117,1972-10-21 09:00,Medicamentos,Terminal Costeiro,Antofagasta,Média,423.9,1.8,7,1361,13.5,0,29.2,9,51.2,1972-10,T-12
CS-0118,1972-10-13 11:45,Medicamentos,Armazém Ferroviário,Talca,Média,571.8,1.0,6,1125,11.6,0,30.9,11,76.6,1972-10,T-15
CS-0119,1972-10-15 11:30,Alimentos básicos,Depósito Norte,Talca,Baixa,452.3,2.7,11,1475,9.2,0,37.1,11,53.5,1972-10,T-15
CS-0120,1972-10-21 13:15,Insumos industriais,Depósito Central,Talca,Baixa,675.1,6.7,6,3722,10.0,0,38.2,13,44.7,1972-10,T-12
CS-0121,1972-10-12 10:00,Medicamentos,Terminal Costeiro,Talca,Média,705.1,0.6,10,3389,10.9,0,30.7,10,76.8,1972-10,T-15
CS-0122,1972-10-13 08:30,Alimentos básicos,Depósito Central,Santiago Centro,Média,277.4,1.7,9,3492,13.1,0,20.7,8,43.8,1972-10,T-15
CS-0123,1972-10-30 10:15,Alimentos básicos,Depósito Central,Talca,Baixa,215.7,6.3,5,2236,16.7,0,30.9,10,32.0,1972-10,T-12
CS-0124,1972-10-21 17:15,Alimentos básicos,Terminal Costeiro,Concepción,Média,496.2,5.0,2,2681,10.1,1,24.4,17,42.0,1972-10,T-08
CS-0125,1972-10-10 07:30,Medicamentos,Terminal Costeiro,Talca,Média,89.5,0.4,2,3023,14.1,0,16.3,7,58.1,1972-10,T-15
CS-0126,1972-10-21 09:30,Medicamentos,Armazém Ferroviário,Talca,Baixa,318.6,4.0,3,2176,12.7,0,34.1,9,55.6,1972-10,T-08
CS-0127,1972-10-12 14:30,Alimentos básicos,Armazém Ferroviário,Antofagasta,Alta,540.5,3.6,5,577,7.8,1,22.8,14,42.2,1972-10,T-04
CS-0128,1972-10-25 11:15,Alimentos básicos,Terminal Costeiro,Santiago Centro,Média,54.3,6.6,9,760,11.0,1,18.7,11,17.6,1972-10,T-12
CS-0129,1972-10-18 14:00,Medicamentos,Armazém Ferroviário,Santiago Centro,Alta,137.8,0.7,6,3307,14.1,0,14.1,14,44.5,1972-10,T-04
CS-0130,1972-10-30 11:00,Alimentos básicos,Terminal Costeiro,Valparaíso,Baixa,632.0,0.8,5,3468,7.0,0,37.4,11,70.1,1972-10,T-12
CS-0131,1972-10-13 07:00,Combustível,Terminal Costeiro,Antofagasta,Média,170.5,3.9,5,2135,9.0,0,16.1,7,27.7,1972-10,T-15
CS-0132,1972-10-28 17:30,Alimentos básicos,Terminal Costeiro,Valparaíso,Baixa,152.4,4.6,4,2698,14.5,1,25.2,17,22.3,1972-10,T-04
CS-0133,1972-10-19 15:15,Medicamentos,Terminal Costeiro,Concepción,Baixa,485.2,3.0,7,2455,7.2,0,32.6,15,43.7,1972-10,T-08
CS-0134,1972-10-09 16:00,Insumos industriais,Depósito Norte,Concepción,Alta,256.7,6.1,11,1562,6.8,0,14.3,16,21.8,1972-10,T-04
CS-0135,1972-10-21 14:30,Combustível,Depósito Norte,Concepción,Alta,347.5,1.0,3,3119,7.1,0,18.2,14,45.4,1972-10,T-12
CS-0136,1972-10-23 11:15,Insumos industriais,Terminal Costeiro,Talca,Média,488.4,4.5,8,483,21.2,0,24.2,11,32.4,1972-10,T-04
CS-0137,1972-10-21 11:45,Combustível,Armazém Ferroviário,Concepción,Média,259.6,3.0,8,3604,2.1,0,23.9,11,37.8,1972-10,T-12
CS-0138,1972-10-16 17:45,Alimentos básicos,Depósito Norte,Concepción,Baixa,392.9,5.6,8,1588,8.9,0,30.4,17,40.0,1972-10,T-04
CS-0139,1972-10-22 11:15,Alimentos básicos,Depósito Central,Antofagasta,Média,55.5,4.0,1,3149,18.0,1,18.8,11,43.9,1972-10,T-04
CS-0140,1972-10-21 08:15,Medicamentos,Depósito Central,Valparaíso,Alta,137.6,3.4,5,1767,11.9,0,11.8,8,15.0,1972-10,T-12
CS-0141,1972-10-29 16:15,Insumos industriais,Depósito Norte,Santiago Centro,Média,330.8,3.8,1,3476,12.9,0,24.9,16,39.4,1972-10,T-04
CS-0142,1972-10-10 11:30,Medicamentos,Depósito Norte,Valparaíso,Alta,188.7,5.2,9,690,2.3,0,12.3,11,10.4,1972-10,T-15
CS-0143,1972-10-28 13:30,Alimentos básicos,Armazém Ferroviário,Talca,Média,593.0,2.3,5,645,20.9,1,30.3,13,60.0,1972-10,T-04
CS-0144,1972-10-13 08:00,Insumos industriais,Depósito Central,Antofagasta,Alta,277.6,5.4,4,679,13.9,0,17.8,8,25.8,1972-10,T-04
CS-0145,1972-10-11 13:15,Medicamentos,Terminal Costeiro,Concepción,Alta,63.8,0.6,8,2418,17.0,0,9.2,13,30.5,1972-10,T-12
CS-0146,1972-10-23 08:30,Medicamentos,Depósito Norte,Santiago Centro,Alta,76.1,3.3,7,1055,10.4,0,8,8,13.4,1972-10,T-15
CS-0147,1972-10-12 09:30,Alimentos básicos,Depósito Norte,Valparaíso,Média,43.5,5.2,1,326,7.4,1,17.3,9,36.7,1972-10,T-15
CS-0148,1972-10-29 10:15,Alimentos básicos,Depósito Central,Talca,Média,152.0,6.8,8,2256,8.0,1,21.5,10,24.1,1972-10,T-15
CS-0149,1972-10-28 15:00,Combustível,Terminal Costeiro,Santiago Centro,Alta,275.4,3.7,2,1207,3.2,0,17.5,15,37.7,1972-10,T-15
CS-0150,1972-10-20 07:30,Insumos industriais,Depósito Central,Concepción,Alta,490.7,3.2,8,2137,8.0,0,20.8,7,23.1,1972-10,T-04
CS-0151,1972-10-09 08:30,Alimentos básicos,Armazém Ferroviário,Talca,Alta,153.1,6.3,8,2414,18.4,1,10.8,8,20.8,1972-10,T-15
CS-0152,1972-10-17 09:00,Combustível,Armazém Ferroviário,Santiago Centro,Baixa,374.3,5.6,3,3899,6.5,0,34.8,9,49.1,1972-10,T-15
CS-0153,1972-10-26 13:30,Combustível,Depósito Central,Valparaíso,Alta,501.6,2.7,2,2655,6.0,0,22.5,13,55.8,1972-10,T-15
CS-0154,1972-10-23 11:45,Insumos industriais,Depósito Norte,Concepción,Alta,139.2,1.4,2,458,19.9,0,13.1,11,39.3,1972-10,T-04
CS-0155,1972-10-19 17:45,Combustível,Depósito Central,Santiago Centro,Alta,713.5,5.6,5,644,20.4,0,29.5,17,50.1,1972-10,T-08
CS-0156,1972-10-28 06:00,Alimentos básicos,Terminal Costeiro,Concepción,Média,291.1,6.2,3,362,18.3,0,20.9,6,39.0,1972-10,T-04
CS-0157,1972-10-25 16:15,Medicamentos,Armazém Ferroviário,Santiago Centro,Média,66.9,3.4,7,479,13.4,0,16.9,16,24.2,1972-10,T-04
CS-0158,1972-10-17 14:30,Insumos industriais,Depósito Central,Concepción,Alta,676.1,6.8,7,3790,19.0,0,26.1,14,48.8,1972-10,T-04
CS-0159,1972-10-13 08:15,Insumos industriais,Armazém Ferroviário,Talca,Alta,538.9,0.4,2,547,12.9,0,21.5,8,55.2,1972-10,T-15
CS-0160,1972-10-29 10:00,Alimentos básicos,Depósito Central,Concepción,Alta,590.9,1.9,4,2229,13.4,0,25.3,10,57.8,1972-10,T-12
CS-0161,1972-10-23 06:30,Alimentos básicos,Armazém Ferroviário,Talca,Alta,123.5,1.4,8,1174,2.9,1,11.3,6,18.1,1972-10,T-15
CS-0162,1972-10-30 17:15,Alimentos básicos,Depósito Norte,Concepción,Baixa,559.7,2.2,5,3309,21.6,1,38.1,17,65.8,1972-10,T-04
CS-0163,1972-10-13 08:15,Insumos industriais,Depósito Central,Concepción,Alta,591.9,3.8,4,2701,21.9,0,22.9,8,29.1,1972-10,T-04
CS-0164,1972-10-20 10:15,Combustível,Depósito Central,Antofagasta,Alta,588.8,4.0,5,2840,3.3,0,26.7,10,43.0,1972-10,T-12
CS-0165,1972-10-22 09:30,Combustível,Depósito Central,Antofagasta,Baixa,739.5,6.4,5,889,8.0,0,40.5,9,62.2,1972-10,T-08
CS-0166,1972-10-13 10:00,Insumos industriais,Depósito Norte,Valparaíso,Baixa,365.4,1.4,5,1598,11.9,0,34.6,10,58.7,1972-10,T-12
CS-0167,1972-10-10 16:30,Alimentos básicos,Depósito Norte,Antofagasta,Alta,105.8,2.0,3,2454,19.3,1,8,16,23.6,1972-10,T-04
CS-0168,1972-10-17 09:15,Combustível,Depósito Central,Talca,Alta,333.2,6.8,10,3167,20.1,0,17.9,9,18.8,1972-10,T-15
CS-0169,1972-10-10 06:30,Alimentos básicos,Depósito Norte,Concepción,Alta,669.5,6.3,11,1484,7.1,0,26.9,6,45.6,1972-10,T-15
CS-0170,1972-10-18 14:15,Medicamentos,Terminal Costeiro,Antofagasta,Baixa,420.6,6.7,2,2034,3.8,0,31.5,14,42.1,1972-10,T-12
