id_carregamento,data_registro,tipo_carga,origem,destino,prioridade_solicitada,distancia_km,estoque_destino_dias,caminhoes_disponiveis,combustivel_disponivel_litros,peso_toneladas,carga_perecivel,prazo_horas,telex_origem
CS-0053,1972/10/24 15:15,combustivel,Depósito Central,Valparaíso,Baixa,"494,2","2,5",6,2367,19.5,0,"36,0",T-12
CS-0054,11/10/1972 17:45,COMBUSTIVEL,Armazém Ferroviário,Antofagasta,Média,"558,2","1,2",6,3642,6.2,0,"31,4",T-12
CS-0055,1972-10-28 11:00,INSUMOS INDUSTRIAIS,Armazém Ferroviário,Concepción,Alta,"499,5","0,6",10,2196,19.3,0,"20,5",T-15
CS-0056,1972-10-20 07:15,Alimentos básicos,Depósito Central,Talca,Baixa,,"2,1",3,2568,2.5,1,"32,0",T-15
CS-0057,11/10/1972 10:00,combustivel,Depósito Norte,Concepción,Média,"698,2","5,3",6,2133,8.3,0,"33,2",T-12
CS-0058,23/10/1972 14:00,insumos,Terminal Costeiro,Talca,Alta,"544,7","6,7",1,3710,13.5,0,"19,4",T-08
CS-0059,1972/10/26 14:30,Combustível,Terminal Costeiro,Valparaíso,Baixa,"539,6","2,2",3,1667,17.2,0,,T-04
CS-0060,1972-10-27 16:30,Alimentos básicos,Depósito Central,Valparaíso,Alta,"363,2","2,7",5,2640,15.7,1,"16,7",T-15
CS-0061,1972-10-14 11:45,MEDICAMENTOS,Depósito Norte,Concepción,Alta,"519,9","1,0",9,1378,3.8,0,"20,9",T-08
CS-0062,29/10/1972 15:45,INSUMOS INDUSTRIAIS,Depósito Norte,Santiago Centro,Baixa,,"5,5",5,3680,5.6,0,"31,0",T-12
CS-0063,1972-10-16 09:00,INSUMOS INDUSTRIAIS,Depósito Norte,Concepción,Média,"560,9","5,1",9,325,2.9,0,"28,9",T-08
CS-0064,24/10/1972 14:00,combustivel,Depósito Central,Valparaíso,Alta,"338,2","6,0",7,969,21.8,0,"14,7",T-12
CS-0065,18/10/1972 09:00,MEDICAMENTOS,Terminal Costeiro,Valparaíso,Alta,"438,6","6,5",2,647,2.0,0,"19,5",T-12
CS-0066,1972/10/18 06:30,insumos,Depósito Central,Santiago Centro,Alta,"647,0","3,0",10,2017,15.8,0,"25,1",T-04
CS-0067,16/10/1972 10:30,Insumos industriais,Armazém Ferroviário,Valparaíso,Alta,"659,1","3,7",5,3606,2.9,0,"27,5",T-12
CS-0068,1972-10-24 15:15,INSUMOS INDUSTRIAIS,Depósito Norte,Antofagasta,Baixa,"623,2","2,7",4,3594,12.5,0,"42,3",T-15
CS-0069,29/10/1972 14:00,COMBUSTIVEL,Depósito Central,Antofagasta,Média,"713,7",,3,2562,7.8,0,"31,8",T-12
CS-0070,1972-10-31 14:45,alimentos,Depósito Norte,Antofagasta,Baixa,"268,1","4,4",8,3647,2.0,1,,T-04
CS-0071,1972/10/18 08:45,combustivel,Depósito Central,Santiago Centro,Média,"317,6","2,6",6,882,13.7,0,"26,0",T-12
CS-0072,1972-10-31 15:30,ALIMENTOS BASICOS,Terminal Costeiro,Valparaíso,Baixa,"112,6","6,0",11,325,4.0,1,"26,1",T-15
CS-0073,23/10/1972 08:45,medicamento,Depósito Central,Valparaíso,Alta,"357,9","5,9",11,1298,14.9,0,"16,6",T-08
CS-0074,1972/10/09 08:30,combustivel,Depósito Norte,Talca,Média,"177,3","3,7",5,2628,21.3,0,"17,9",T-08
CS-0075,1972/10/25 06:30,ALIMENTOS BASICOS,Depósito Norte,Antofagasta,Média,"660,6","6,3",5,3411,2.0,0,"30,2",T-15
CS-0076,1972/10/17 15:15,INSUMOS INDUSTRIAIS,Depósito Central,Valparaíso,Média,"469,8","1,1",10,1618,5.0,0,"25,8",T-12
CS-0077,24/10/1972 13:45,INSUMOS INDUSTRIAIS,Depósito Norte,Concepción,Alta,"372,6","0,5",11,350,17.9,0,,T-12
CS-0078,17/10/1972 16:00,combustivel,Depósito Central,Concepción,Média,"111,1","6,6",1,1136,9.8,0,,T-15
CS-0012,1972-10-11 10:15,Insumos industriais,Depósito Central,Concepción,Alta,"357,1","3,5",4,2096,4.9,0,"18,4",T-04
CS-0038,1972/10/21 16:30,Insumos industriais,Depósito Norte,Talca,Alta,"347,3",,11,1300,10.1,0,"17,9",T-12
CS-0065,18/10/1972 09:00,MEDICAMENTOS,Terminal Costeiro,Valparaíso,Alta,"438,6","6,5",2,647,2.0,0,"19,5",T-12
